183,Ing.,Vlček,Vlastimil, ,16/10/1956,M,,
184,,Vlček,Zdeněk,,21/10/1962,M,,
185,PhDr.,Volák,Stanislav, ,30/09/1947,M,09/12/1998,
186,Doc. Ing.,Vorlíček,Zdeněk,CSc.,28/03/1941,M,,
187,PhDr.,Votava,Vratislav, ,27/06/1960,M,,
188,Ing.,Vraný,Jan, ,21/06/1946,M,,
189, ,Vrcha,Oldřich, ,29/12/1943,M,,
190, ,Vrzal,Ivan, ,29/04/1967,M,,
191,RNDr.,Vychodil,Otakar, ,31/07/1951,M,,
192,JUDr.,Vyvadil,Jiří, ,02/08/1954,M,,
193,JUDr.,Výborný,Miloslav, ,19/02/1952,M,09/12/1998,
194, ,Wagner,Jozef, ,30/08/1940,M,,
195, ,Zahradníček,Jan, ,31/05/1948,M,,
196,Mgr.,Zeman,Eduard, ,11/04/1948,M,09/12/1998,
197,JUDr.,Zemina,Ondřej, ,13/10/1963,M,,
198,Ing.,Zima,Anton, ,07/10/1946,M,,
199,Ing.,Zubek,Leopold, ,04/08/1940,M,,
200, ,Žižka,Jaroslav, ,13/04/1951,M,,
201,MUDr.,Lom,Petr,CSc.,15/07/1935,M,,
202,JUDr.,Janů,Ivana, ,14/03/1946,Ž,,
203,PhDr.,Cisár,Vladimír, ,10/11/1955,M,07/12/1998,
204,,Čech,František,,09/07/1943,M,,
205,PhDr.,Honický,Ivo,,09/12/1963,M,,
206,Ing.,Brynychová,Ludmila, ,27/11/1952,Ž,07/12/1998,
207, ,Bašta,Jaroslav, ,15/05/1948,M,07/12/1998,
208,MUDr.,Čevela,Rostislav, ,02/03/1953,M,07/12/1998,
209, ,Dostál,Pavel, ,25/02/1943,M,07/12/1998,24/07/2005
210,Ing.,Ekert,Milan, ,02/03/1965,M,07/12/1998,
211,doc. MUDr.,Emmerová,Milada,CSc.,04/11/1944,Ž,07/12/1998,
212,MUDr.,Gavlasová,Jana,,29/09/1951,Ž,,
213,Doc.Ing.,Grégr,Miroslav,CSc.,13/12/1929,M,07/12/1998,
214, ,Hofman,Jiří, ,19/12/1950,M,07/12/1998,
215,Ing.,Hojdar,Josef, ,16/10/1946,M,07/12/1998,
216,JUDr.,Hulinský,Petr,Ph.D.,25/08/1967,M,,
217, ,Chobot,František, ,19/02/1939,M,07/12/1998,
218,prof.JUDr.,Jičínský,Zdeněk,DrSc.,26/02/1929,M,07/12/1998,
219, ,Kapoun,Miroslav, ,03/08/1945,M,07/12/1998,
220, ,Kopecký,Robert, ,18/04/1952,M,07/12/1998,25/03/2010
221,Ing.,Kořínková,Květoslava,CSc.,10/07/1940,Ž,,
222,Ing.,Kostrhun,Jan, ,03/07/1942,M,07/12/1998,
223,Mgr.,Kučera,Miloslav,,04/03/1942,M,,
224, ,Kuneš,Michael, ,01/07/1955,M,08/12/1998,
225,JUDr.,Kupčová,Jitka, ,05/12/1952,Ž,08/12/1998,
226,Ing.,Laštůvka,Vladimír, ,08/06/1943,M,08/12/1998,
227,Ing.,Macháček,Antonín, ,05/06/1951,M,08/12/1998,
228,Ing.,Machovec,Karel,,15/07/1959,M,,
229, ,Maňásek,Jaroslav, ,06/04/1943,M,08/12/1998,
230,Ing.,Melčák,Miloš,CSc.,19/04/1939,M,,
231, ,Noveská,Marie,,13/05/1953,Ž,,
232,Ing.,Polášek,Luděk, ,05/12/1947,M,08/12/1998,
233,Ing.,Sehnalová,Olga, ,18/02/1941,Ž,08/12/1998,
234,Ing.,Schling,Jaromír, ,21/06/1946,M,08/12/1998,
235,Ing.,Skopal,Ladislav, ,25/09/1958,M,08/12/1998,
236, ,Snítilý,Evžen, ,02/05/1954,M,08/12/1998,
237,Mgr.,Sobotka,Bohuslav, ,23/10/1971,M,08/12/1998,
238, ,Svoboda,Václav, ,28/10/1948,M,,
239,Ing.,Škromach,Zdeněk, ,31/12/1956,M,03/11/2000,
240, ,Španbauer,František, ,18/06/1946,M,08/12/1998,
241,PhDr.,Špidla,Vladimír, ,22/04/1951,M,08/12/1998,
242,Ing.,Štěpová,Vlasta,CSc.,07/06/1938,Ž,08/12/1998,
243,Ing.,Šulák,Petr, ,02/05/1944,M,08/12/1998,
244, ,Teplík,Tomáš, ,08/05/1974,M,09/12/1998,
245,Ing.,Tešnar,Dušan, ,05/12/1945,M,09/12/1998,
246,Doc.Ing.,Titz,Miloš,CSc.,01/06/1939,M,09/12/1998,
247,Ing.,Tomíček,Rudolf, ,17/03/1948,M,09/12/1998,
248,Mgr.,Turek,Radim, ,27/11/1970,M,07/12/1999,
249,Ing.,Václavek,Jiří, ,23/03/1942,M,09/12/1998,18/03/2010
250,Ing.,Vlček,Miloslav, ,01/02/1961,M,09/12/1998,
251,,Zachardová,Jindřiška,,17/10/1942,Ž,,
252,PhDr.,Zaorálek,Lubomír, ,06/09/1956,M,09/12/1998,
253,Ing.,Zeman,Miloš, ,28/09/1944,M,26/01/2000,
254, ,Žižka,Jan, ,04/08/1944,M,09/12/1998,
255,Mgr.,Bartoš,Vladimír,,22/08/1946,M,,
256,JUDr.,Bartošková,Drahoslava,,02/09/1945,Ž,,
257,Ing.,Bařinka,Vlastimil,,25/05/1958,M,,
